year,model,price,transmission,mileage,fuelType,tax,mpg,engineSize,selling_price
2019, 1 Series,15199,Manual,11191,Petrol,145,53.3,1.5,11631.7947
2015, 1 Series,9799,Manual,49096,Diesel,20,68.9,2.0,4522.2385
2017, 1 Series,21400,Automatic,23000,Petrol,205,39.8,3.0,12596.04
2015, 1 Series,13600,Automatic,38046,Diesel,20,67.3,2.0,6276.400000000001
2015, 1 Series,12950,Automatic,31384,Diesel,30,65.7,2.0,5976.425
2015, 1 Series,12498,Semi-Auto,14501,Diesel,0,78.5,1.5,5767.827
2019, 1 Series,18500,Semi-Auto,12054,Petrol,150,54.3,1.5,14158.05
2017, 1 Series,15000,Automatic,15592,Petrol,30,55.5,1.5,8829.0
2019, 1 Series,25490,Semi-Auto,5379,Petrol,145,39.8,3.0,19507.497
2019, 1 Series,21980,Manual,2841,Petrol,145,44.1,1.5,16821.293999999998
2015, 1 Series,13998,Semi-Auto,38279,Diesel,125,60.1,2.0,6460.077
2019, 1 Series,20440,Semi-Auto,9908,Petrol,150,47.9,2.0,15642.732
2015, 1 Series,15499,Semi-Auto,20000,Diesel,125,60.1,2.0,7152.788500000001
2015, 1 Series,12099,Manual,31321,Diesel,30,64.2,2.0,5583.6885
2017, 1 Series,15000,Automatic,17392,Petrol,30,55.5,1.5,8829.0
2015, 1 Series,14498,Manual,25640,Diesel,30,62.8,2.0,6690.827
2019, 1 Series,16440,Manual,13461,Diesel,145,72.4,1.5,12581.532
2019, 1 Series,16888,Automatic,11747,Diesel,145,72.4,1.5,12924.3864
2019, 1 Series,16380,Manual,101,Petrol,145,53.3,1.5,12535.614
2015, 1 Series,10300,Automatic,44033,Diesel,20,72.4,1.5,4753.45
2019, 1 Series,29980,Automatic,3768,Diesel,145,48.7,2.0,22943.694
2017, 1 Series,12499,Automatic,27656,Diesel,145,72.4,1.5,7356.9114
2017, 1 Series,21832,Semi-Auto,23114,Petrol,200,39.8,3.0,12850.315200000001
2015, 1 Series,12999,Automatic,34267,Diesel,20,70.6,2.0,5999.038500000001
2015, 1 Series,8800,Manual,59496,Diesel,0,83.1,1.5,4061.2000000000003
2015, 1 Series,13111,Manual,23320,Diesel,20,70.6,2.0,6050.726500000001
2019, 1 Series,19888,Manual,999,Diesel,145,72.4,1.5,15220.286399999999
2015, 1 Series,16950,Semi-Auto,38178,Petrol,240,37.7,3.0,7822.425
2015, 1 Series,12399,Manual,25651,Petrol,125,52.3,1.5,5722.1385
2019, 1 Series,21480,Semi-Auto,8151,Petrol,145,47.9,2.0,16438.644
2017, 1 Series,13700,Manual,14232,Petrol,125,53.3,1.5,8063.820000000001
2015, 1 Series,11995,Semi-Auto,23484,Diesel,30,64.2,2.0,5535.6925
2017, 1 Series,20750,Semi-Auto,18635,Petrol,200,39.8,3.0,12213.45
2015, 1 Series,15500,Manual,45853,Petrol,300,35.3,3.0,7153.25
2017, 1 Series,16995,Manual,34003,Petrol,145,46.3,2.0,10003.257
